duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,fHeaderBytes,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bVarianceDataBytes,bAvgSegmentSize,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,sflow_fpacket,sflow_fbytes,sflow_bpacket,sflow_bbytes,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,FFNEPD,Init_Win_bytes_forward,Init_Win_bytes_backward,RRT_samples_clnt,Act_data_pkt_forward,min_seg_size_forward,classification
0,1,0,436,0,436,-1,436,-1,436.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,436,436,436.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,436.0,436.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,1
213513404,32,47,2643,44001,52,52,386,1390,82.59375,936.1914894,70.39032163,608.1089768999999,213513404,2532679,2,3,211019909,2165110,6887529.161,55058.23913,37900000.0,318685.1945,10,24,0,0,640,940,0.149873495,0.220126695,0.37000019,218.4593526,52,1390,590.4303797,630.7897204,2,210952360,2737351.333,23900000.0,1,2,0,34,78,0,0,0,16.64812713,590.4303797,82.59375,640,415,5,49920,369796.5278,936,10504,9,1994919,16,1321,23,22000,2447996,107000000.0,211065408,148000000.0,2137002,107000000.0,210952360,148000000.0,2,4194240,2722560,42,32,32,1
8872756,2,0,80,0,40,-1,40,-1,40.0,0.0,1.0,0.0,8872756,0,8872756,-1,8872756,-1,8872756.0,0.0,0.0,0.0,0,0,0,0,40,0,0.22540910600000005,0.0,0.22540910600000005,9.01636425,40,40,40.0,1.0,8872756,8872756,8872756.0,0.0,2,0,0,0,2,0,0,0,0.0,40.0,40.0,40,0,0,0,0.0,0,0,0,0,2,80,0,0,8872756,8872756.0,8872756,0.0,8872756,8872756.0,8872756,0.0,3,88704,-1,0,2,20,0
846498,6,5,1039,2240,52,52,771,1390,173.16666669999995,448.0,292.89446339999995,588.3903891,846498,368086,2,105,423748,204927,169299.6,92021.5,173096.995,107493.0254,1,2,0,0,120,100,7.0880261970000005,5.906688497999999,12.9947147,3873.606317,52,1390,298.0909091,449.416278,2,423748,84649.8,136082.295,1,2,0,3,10,0,0,0,2.155919153,298.0909091,173.16666669999995,120,0,0,0,346203.25,448,2180,4,10625,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,4194240,1853440,4,6,32,1
496,1,1,71,259,71,259,71,259,71.0,259.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,2016.129032,2016.129032,4032.258065,665322.5806,71,259,165.0,132.9323136,496,496,496.0,0.0,0,0,0,0,0,0,0,0,3.647887324,165.0,71.0,20,0,0,0,0.0,259,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,0,0,1,0,0
726376,14,14,2383,8785,52,52,846,1390,170.21428569999995,627.5,242.6202092,565.6801556,726376,692637,3,144,203002,167162,55875.07692000001,53279.76923,65758.85447,65111.04395,4,8,0,0,280,280,19.27376455,19.27376455,38.54752910000001,15374.95732,52,1390,398.85714289999993,486.44342019999993,3,167162,26902.814810000003,41193.62079,0,2,0,12,27,0,0,0,3.686529585,398.85714289999993,170.21428569999995,280,0,0,0,319994.0385,627,2874,4,31366,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,4194240,2722560,11,14,32,1
117102,3,4,427,417,52,52,315,253,142.33333330000005,104.25,149.5855385,99.23666997,63254,64117,3,13,63251,63672,31627.0,21372.33333,44723.08969,36633.18495,1,1,0,0,60,80,25.6186914,34.1582552,59.77694659,7207.391845999998,52,315,120.5714286,113.1243521,3,53403,19517.0,26379.49377,1,2,0,2,6,0,0,0,0.976580796,120.5714286,142.33333330000005,60,0,0,0,9847.916667,104,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,4194240,926720,3,3,32,1
0,1,0,408,0,408,-1,408,-1,408.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,408,408,408.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,408.0,408.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,1
33132193,53,81,4324,81365,52,52,342,1390,81.58490566,1004.506173,59.61089664,523.9284928000002,3047248,33128757,1,2,2146378,30087439,58600.92307999999,414109.4625,308178.3314,3368956.374,14,28,0,0,1060,1620,1.59965264,2.444752148,4.0444047880000005,2586.276133,52,1390,639.4701493,609.6574063999999,1,30084925,249114.2331,2613876.943,1,2,0,42,133,0,0,0,18.81706753,639.4701493,81.58490566,1060,390,5,39961,274501.0656,1004,10605,9,12504463,26,2162,40,40682,3027751,16600000.0,30104422,19100000.0,2146378,16100000.0,30084925,19800000.0,2,4194240,1853440,75,53,32,1
605130,2,0,104,0,52,-1,52,-1,52.0,0.0,1.0,0.0,605130,0,605130,-1,605130,-1,605130.0,0.0,0.0,0.0,0,0,0,0,40,0,3.305074943,0.0,3.305074943,171.863897,52,52,52.0,1.0,605130,605130,605130.0,0.0,2,0,0,0,2,0,0,0,0.0,52.0,52.0,40,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,3,88704,-1,0,2,32,1
